*****************************************************************
Pin Report - Date: Wed Mar 18 14:32:22 2026 UNCOMPLETED LAYOUT
Product: Designer
Release: v11.9 SP6
Version: 11.9.6.7
Design Name: clk
Family: ProASIC3E
Die: A3PE1500
Package: 484 FBGA
*****************************************************************
Number |Port |Function         |State       |
-------|-----|-----------------|------------|
A1            GND               Reserved
A2            GND               Reserved
A3            VCCIB0            Reserved
A4            IO05NDB0V0        Unassigned
A5            IO05PDB0V0        Unassigned
A6            IO11NDB0V1        Unassigned
A7            IO11PDB0V1        Unassigned
A8            IO15PDB0V1        Unassigned
A9            IO17PDB0V2        Unassigned
A10           IO27NDB0V3        Unassigned
A11           IO27PDB0V3        Unassigned
A12           IO32PDB1V0        Unassigned
A13           IO43PDB1V1        Unassigned
A14           IO47NDB1V1        Unassigned
A15           IO47PDB1V1        Unassigned
A16           IO51NDB1V2        Unassigned
A17           IO51PDB1V2        Unassigned
A18           IO54NDB1V3        Unassigned
A19           Not Bonded        Unconnected
A20           VCCIB1            Reserved
A21           GND               Reserved
A22           GND               Reserved
AA1           GND               Reserved
AA2           VCCIB6            Reserved
AA3           Not Bonded        Unconnected
AA4           IO161PDB5V3       Unassigned
AA5           IO155NDB5V2       Unassigned
AA6           IO155PDB5V2       Unassigned
AA7           IO154NDB5V2       Unassigned
AA8           IO154PDB5V2       Unassigned
AA9           IO143PDB5V1       Unassigned
AA10          IO143NDB5V1       Unassigned
AA11          IO131PPB4V2       Unassigned
AA12          IO129NDB4V2       Unassigned
AA13          IO129PDB4V2       Unassigned
AA14          Not Bonded        Unconnected
AA15          Not Bonded        Unconnected
AA16          IO117NDB4V0       Unassigned
AA17          IO117PDB4V0       Unassigned
AA18          IO115NDB4V0       Unassigned
AA19          IO115PDB4V0       Unassigned
AA20          Not Bonded        Unconnected
AA21          VCCIB3            Reserved
AA22          GND               Reserved
AB1           GND               Reserved
AB2           GND               Reserved
AB3           VCCIB5            Reserved
AB4           IO159NDB5V3       Unassigned
AB5           IO159PDB5V3       Unassigned
AB6           IO149NDB5V1       Unassigned
AB7           IO149PDB5V1       Unassigned
AB8           IO138NDB5V0       Unassigned
AB9           IO138PDB5V0       Unassigned
AB10          Not Bonded        Unconnected
AB11          Not Bonded        Unconnected
AB12          IO127NDB4V2       Unassigned
AB13          IO127PDB4V2       Unassigned
AB14          IO125NDB4V1       Unassigned
AB15          IO125PDB4V1       Unassigned
AB16          IO122NDB4V1       Unassigned
AB17          IO122PDB4V1       Unassigned
AB18          Not Bonded        Unconnected
AB19          Not Bonded        Unconnected
AB20          VCCIB4            Reserved
AB21          GND               Reserved
AB22          GND               Reserved
B1            GND               Reserved
B2            VCCIB7            Reserved
B3            Not Bonded        Unconnected
B4            IO03NDB0V0        Unassigned
B5            IO03PDB0V0        Unassigned
B6            IO10NDB0V1        Unassigned
B7            IO10PDB0V1        Unassigned
B8            IO15NDB0V1        Unassigned
B9            IO17NDB0V2        Unassigned
B10           IO20PDB0V2        Unassigned
B11           IO29PDB0V3        Unassigned
B12           IO32NDB1V0        Unassigned
B13           IO43NDB1V1        Unassigned
B14           Not Bonded        Unconnected
B15           Not Bonded        Unconnected
B16           IO53NDB1V2        Unassigned
B17           IO53PDB1V2        Unassigned
